ce_average_threads,ce_comp_threads,lf_threads,videoBufferLength,ce,le,lm,ex,total
11,5,16,500,118.49271965026855,1.7445087432861328,0.01857161521911621,46.06537365913391,166.32117366790771
11,7,16,500,115.21141529083252,1.7122218608856201,0.018581628799438477,45.772539377212524,162.7147581577301
11,9,16,500,114.48849654197693,1.612638235092163,0.01919245719909668,45.92235970497131,162.0426869392395
11,11,16,500,112.82123184204102,1.6241345405578613,0.01857304573059082,45.80720853805542,160.2711479663849
11,13,16,500,112.59852123260498,1.71390700340271,0.019191741943359375,46.15885853767395,160.4910969734192
11,15,16,500,112.56388425827026,1.6146156787872314,0.019189119338989258,45.98365259170532,160.1813416481018
13,1,16,500,131.67731404304504,1.6126892566680908,0.019192218780517578,45.75458526611328,179.06440043449402
13,3,16,500,116.56918358802795,1.6131377220153809,0.01857304573059082,45.76882600784302,163.96972036361694
13,5,16,500,112.2796881198883,1.609921932220459,0.019191980361938477,46.028849601745605,159.93826842308044
13,7,16,500,108.72082543373108,1.7372710704803467,0.01919245719909668,46.31177496910095,156.78906393051147
13,9,16,500,108.48771858215332,1.6137425899505615,0.019191980361938477,45.56266403198242,155.68393635749817
13,11,16,500,107.16647553443909,1.610762596130371,0.019190311431884766,45.84559512138367,154.64264035224915
13,13,16,500,107.32276487350464,1.6152477264404297,0.01857161521911621,45.818971395492554,154.77555561065674
13,15,16,500,106.56679201126099,1.6118066310882568,0.018573522567749023,46.010894536972046,154.20806670188904
15,1,16,500,131.5754520893097,1.644787311553955,0.0191953182220459,45.84373593330383,179.08378744125366
15,3,16,500,116.94251155853271,1.6117939949035645,0.018573284149169922,45.76944303512573,164.34232187271118
15,5,16,500,111.31463241577148,1.6140317916870117,0.019192934036254883,46.05360960960388,159.00208735466003
15,7,16,500,107.96618914604187,1.614816427230835,0.019192218780517578,45.955793619155884,155.5559914112091
15,9,16,500,107.83290696144104,1.619197130203247,0.019201278686523438,45.75706171989441,155.22836709022522
15,11,16,500,106.5511622428894,1.718158483505249,0.018573522567749023,46.033798694610596,154.321692943573
15,13,16,500,106.44356966018677,1.6140408515930176,0.01918959617614746,45.77501654624939,153.85243701934814
15,15,16,500,107.33821439743042,1.6108615398406982,0.019192218780517578,45.71558332443237,154.68447065353394
16,16,1,50,123.59751272201538,1.4084522724151611,0.017957210540771484,46.147711515426636,171.17163372039795
16,16,1,250,106.69272565841675,1.6079566478729248,0.01919412612915039,46.2201464176178,154.54002285003662
16,16,1,450,101.85784840583801,1.5388293266296387,0.018573284149169922,45.92607593536377,149.34194564819336
16,16,5,50,123.548903465271,1.5073721408843994,0.018573284149169922,46.24738883972168,171.32223773002625
16,16,5,250,106.95241785049438,1.6107628345489502,0.018573522567749023,46.19724202156067,154.77961778640747
16,16,5,450,102.04345893859863,1.7412159442901611,0.019191741943359375,45.80039858818054,149.60488510131836
16,16,9,50,122.31843137741089,1.52876877784729,0.018574237823486328,46.37863779067993,170.24503374099731
16,16,9,250,106.55064654350281,1.6132228374481201,0.019191741943359375,45.95022130012512,154.13390159606934
16,16,9,450,101.84069108963013,1.6094310283660889,0.01857590675354004,45.747771978378296,149.21708941459656
16,16,13,50,123.8579375743866,1.6113300323486328,0.01795339584350586,46.28453469276428,171.77175569534302
16,16,13,250,106.63911652565002,1.7118167877197266,0.01857590675354004,46.23067021369934,154.60079956054688
16,16,13,450,101.59265899658203,1.6128320693969727,0.019192218780517578,46.07404088973999,149.2987241744995
